country,id,un_region_name,global_index_score_2019,index_to_be_defined,inverse_global_index_2019,mjc_criteria_sdr_mild_version,mjc_criteria_sdr_medium_version,mjc_criteria_sdr_heavy_version,mjc_criteria_sdr_ponderated,mjc_criteria_equality,mjc_criteria_capacity,mjc_criteria_historical_responsability,mjc_criteria_present_responsability,mjc_criteria_ponderated,population_2019,gdp_per_capita_ppp_2017,cum_emissions_per_capita_1994_2017,emissions_per_cap_2017,poverty_ratio_320,undernourishment_prevalence,stunting_prevalence_under_5_yrs,wasting_prevalence_in_children_under_5,maternal_mortality_rate_per_100k_births,neonatal_mortality_rate_1k_births,under_5_mortality_rate_1k_births,life_expec_at_birth_yrs,univ_health_coverage_index,net_primary_enrolment_rate,lower_secondary_completion_rate,literacy_rate_15_24_yrs_both_sexes,ratio_female_to_male_labour_force_rate,population_rate_using_basic_drinking_water_services,population_rate_using_basic_sanitation_services,access_to_electricity_pop_rate,access_to_clean_fuels_and_tech_for_cooking_rate,unemployment_rate,population_using_the_internet
Central African Republic,CAF,Africa,39.07514636,60.92485364,1,0.113001724,0.151676629,0.402167296,0.222281883,0.062921126,4.233666565,0.296495069,0.663333104,1.249695915,4825711,661.2399677,4.997613511,2.196567511,87.65,61.8,40.7,7.4,882,41.5,121.5,53,30.297,68.07992,10.02517,36.35627,79.14707865,54.14386029,25.08699975,13.98511219,0.97,5.765999794,4.339254945
Chad,TCD,Africa,42.78711764,57.21288236,0.9195544,0.347755738,0.45707345,0.896074525,0.566967904,0.206198919,1.583272993,0.53451183,0.301601903,0.693624171,15814345,1768.153411,2.772188901,4.831056866,63.46,39.7,39.9,13,856,34.8,123.2,54.3,39.617,74.20576,17.49178,30.79161,83.62428984,42.53760447,9.548387843,8.830898285,3.13,5.923999786,6.49999812
"Congo, Dem. Rep.",COD,Africa,44.94557815,55.05442185,0.872776384,1.835179996,2.379126528,6.717600258,3.643968927,1.130817103,3.464118906,1.80322085,2.280991442,2.57025277,86727573,808.1332134,0.821733934,0.638781855,90.15,,42.6,8.1,693,28.9,91.1,60.5,43.899,,50.46317,84.98951,97.10981003,41.83799362,19.71368663,17.14737892,4.02,3.697999954,8.619904916
Nigeria,NGA,Africa,46.40579175,53.59420825,0.84113073,4.139634255,5.312949709,12.94767021,7.466751391,2.620293988,0.523160038,0.684519445,0.874070103,2.847375048,200962417,5351.076803,2.16468323,1.666978358,77.03,11.5,43.6,10.8,814,32.9,100.2,55.2,46.437,64.10465,47.04819,66.38354,84.67081272,67.34496767,32.600957,59.3,4.91,7.026000023,27.68098584
Madagascar,MDG,Africa,46.69895507,53.30104493,0.834777314,0.552510037,0.707625019,2.074711681,1.111615579,0.351649785,1.976413061,0.939797324,1.155772859,1.121865879,26969642,1416.439507,1.576688637,1.260676727,92.48,43.1,49.2,15.2,353,18.4,44.2,66.1,41.598,77.72212,36.55799,76.82916,93.64238438,50.6213902,9.69366814,22.9,0.91,1.797000051,9.8
Liberia,LBR,Africa,48.18253993,51.81746007,0.802625159,0.099137018,0.12557425,0.297233188,0.173981485,0.06490313,2.396268694,1.990506051,1.826905924,1.135964824,4977720,1168.261952,0.744417613,0.7975539,73.84,38.8,32.1,5.6,725,25.1,74.7,62.9,51.409,36.75459,37.29983,49.07411,94.04008197,69.90047658,16.88947781,19.8,0.71,2.424999952,7.984479722
Haiti,HTI,LAC,48.43508066,51.56491934,0.797152113,0.222823124,0.281692452,0.430571938,0.311695838,0.146592524,1.693392273,1.220502347,1.011201863,0.816883185,11242856,1653.172504,1.214063837,1.440915013,47.59,45.8,21.9,5.2,359,28.3,71.7,63.5,47.22,,,72.34672,88.04392688,64.17431898,30.54379074,38.69016647,4.34,13.87100029,12.32610358
Sierra Leone,SLE,Africa,49.24040722,50.75959278,0.779699128,0.153796233,0.193189141,0.445063744,0.264016373,0.102785885,2.012537767,1.667448352,1.558500846,0.998078656,7883123,1391.014662,0.888643874,0.934908665,71.27,25.5,37.9,9.4,1360,33.5,110.5,53.1,49.491,98.31896,49.72067,57.02213,97.30421469,58.09139672,14.53588501,20.3,0.99,4.360000134,13.23693043
Niger,NER,Africa,49.44801207,50.55198793,0.775199929,0.450317616,0.564706146,1.634106861,0.883043541,0.302194535,3.023217709,1.172294547,1.210384782,1.349948862,23176691,925.9900583,1.263989299,1.203795658,89.37,14.4,42.2,10.3,553,26,84.5,59.8,46.841,65.44571,18.03124,39.78773,74.43808065,45.83537798,12.93732773,16.21723366,1.91,0.363000005,10.22431156
Afghanistan,AFG,Asia,49.64915597,50.35084403,0.770840752,0.72008556,0.901509082,,0.810797321,0.485158065,1.558384092,1.786947795,1.594576614,1.136275421,37209007,1796.392531,0.829217152,0.913757252,,30.3,40.9,9.5,396,39.2,67.9,62.7,46.014,,54.13986,46.99005,22.51602801,62.98020808,39.22043325,84.13713837,32.44,8.807999611,11.44768809
Mali,MLI,Africa,50.21473318,49.78526682,0.758583599,0.376753116,0.469448068,1.067933599,0.638044928,0.256721311,1.388475077,0.54777199,0.406924518,0.690147392,19689140,2016.218793,2.705081294,3.580654107,69.81,6,30.4,13.5,587,35.4,106,58,46.568,61.20683,29.65912,49.36653,73.79071296,74.26804958,31.26833404,35.06949997,0.96,8.008999825,12.72064096
Benin,BEN,Africa,50.85380076,49.14619924,0.744733768,0.222925583,0.276247981,0.633708814,0.377627459,0.153877769,1.352926934,1.091952986,1.017490187,0.734788437,11801595,2069.194923,1.356988608,1.432009826,70.01,10.4,34,4.5,405,32.7,98.3,61.1,50.6,97.03366,45.8472,52.49247,94.20506966,67.0172867,13.93011225,41.40261459,6.44,2.394999981,14.11901233
Lesotho,LSO,Africa,50.94279332,49.05720668,0.742805127,0.043229071,0.053527391,0.12641505,0.074390504,0.029893654,1.050443658,0.698236905,0.655012929,0.457838183,2292682,2665.035409,2.122156178,2.224468984,72.02,12.8,33.2,2.8,487,37.9,85.9,52.9,52.568,80.89926,43.227,86.6322,79.39419473,71.59287175,43.79110608,29.73330879,35.61,28.48200035,29.78780333
Angola,AGO,Africa,51.32035799,48.67964201,0.73462257,0.59474927,0.733971002,1.014510061,0.781076778,0.414469379,0.462601475,0.350246407,0.458576852,0.515639815,31787566,6051.579368,4.230643725,3.17734299,42.01,23.9,37.6,4.9,477,29.1,81.1,62.6,43.174,77.45058,20.8827,77.43113,94.14080569,41.00586762,39.42942284,40.52060699,48.05,8.543000221,14.33907936
Djibouti,DJI,Africa,51.36236823,48.63763177,0.733712127,0.018426465,0.022731255,0.026635558,0.022597759,0.012852142,,0.757796563,0.714530087,0.25717982,985690,,1.955363529,2.039180675,35.6,19.7,33.5,21.5,229,32.4,61.7,63.8,48.859,57.25676,43.51122,,72.21444666,76.92248362,51.37805815,51.78269196,11.52,5.78399992,55.68140925
Sudan,SDN,Africa,51.36317921,48.63682079,0.733694551,0.794744213,0.980405146,1.614461291,1.129870217,0.554329643,0.626769352,0.52025303,0.568306545,0.71381225,42514094,4466.506755,2.848167481,2.563855647,50.03,25.2,38.2,16.3,311,29.5,63.2,65.1,60.5,60.43303,49.98942,65.80535,33.67329487,58.93144857,34.58610454,38.52844238,41.29,12.71000004,30.87029573
Malawi,MWI,Africa,51.38114315,48.61885685,0.733305238,0.36847942,0.454486904,1.316935062,0.713300462,0.257107296,2.556494925,2.407334333,2.317041268,1.472272621,19718743,1095.042089,0.615522216,0.628843329,88.02,26.3,37.1,2.7,634,22.7,55.4,64.2,52.365,96.25452,20.31704,72.93561,88.09170395,67.19508468,43.52960545,11,2.5,5.931000233,13.78216439
Burundi,BDI,Africa,51.54663075,48.45336925,0.729718802,0.215580967,0.265503386,0.81529806,0.432127471,0.150935828,4.187819825,2.442251634,2.579025561,1.82038043,11575964,668.4789843,0.606721986,0.564963747,93.14,,55.9,5.1,712,22.1,61.2,60.1,45.077,96.63138,40.68347,79.55961,103.6290128,55.93411981,50.46031707,7.588477135,0.85,1.51699996,5.594670768
Togo,TGO,Africa,51.59638299,48.40361701,0.728640574,0.152299752,0.187483401,0.434982033,0.258255062,0.106740022,1.851559277,0.932643306,0.89684357,0.78282445,8186384,1511.952428,1.588782927,1.624648929,70.34,16.2,27.5,6.7,368,25.4,72.9,60.6,53.319,89.96453,46.46893,84.29011,95.2368355,62.81763777,13.94848231,46.92837524,6.71,1.847000003,12.36022497
Papua New Guinea,PNG,Oceania,51.61521377,48.38478623,0.728232475,0.159681842,0.196537234,0.34934367,0.235187582,0.111957351,0.73197418,0.85240265,0.796881994,0.475940359,8586525,3824.546849,1.738342511,1.828446316,53.88,,49.5,14.3,215,23.7,53.4,65.9,46.571,75.75621,63.83446,67.9,97.44735017,36.59633202,18.6041702,22.9321537,13.43,2.680000067,11.20919659
Eswatini,SWZ,Africa,51.6879441,48.3120559,0.726656268,0.026282597,0.032327333,0.064884597,0.041164842,0.018455196,0.355684903,0.584079098,0.733927895,0.268577109,1415414,7870.644839,2.536929959,1.985284871,60.8,20.7,25.5,2,389,17.4,53.9,57.7,54.714,75.74791,55.07566,93.5023,63.60401375,67.62608877,58.02583569,65.79020691,49.7,26.4470005,30.3
Burkina Faso,BFA,Africa,52.40384204,47.59615796,0.711141375,0.37175619,0.454224285,1.076562634,0.634181036,0.264967262,1.650411211,0.861757341,0.845989995,0.850858294,20321560,1696.225477,1.719472167,1.72230872,71.32,21.3,27.3,7.6,371,25.4,81.2,60.3,51.072,76.42373,37.00928,50.0963,77.20965199,53.85759552,22.53208118,19.16471291,8.93,6.227000237,15.87620691
Uganda,UGA,Africa,52.57466298,47.42533702,0.707439354,0.833237331,1.016425615,2.024895582,1.291519509,0.596024622,1.648626929,1.344114792,1.362060486,1.222314675,45711874,1698.061274,1.102411618,1.069743936,59.85,41.4,28.9,3.6,343,20.2,49,62.5,46.88,90.85496,25.58007,83.65888,89.00379312,38.92146587,19.15095459,26.7,0.77,2.191999912,23.70653091
Zambia,ZMB,Africa,52.61508405,47.38491595,0.706563351,0.330326694,0.40279378,0.959806665,0.564309046,0.236488193,0.763760675,0.53342093,0.642996626,0.538191673,18137369,3665.375337,2.777858311,2.266039799,71.56,44.5,40,6.3,224,22.2,60,62.3,54.037,84.06456,53.35383,88.71456,88.14547788,61.22530759,31.11180988,27.21933746,16.43,7.796999931,27.8525791
Guinea,GIN,Africa,52.81496329,47.18503671,0.702231581,0.242984949,0.295721925,0.521723715,0.353476863,0.174695204,1.37067429,0.773260217,0.709887194,0.660105016,13398180,2042.403191,1.916260179,2.052517581,52.88,19.7,32.4,8.1,679,24.1,85.7,59.8,35.821,76.76458,36.45162,46.29505,96.42217866,67.37254732,21.95227203,33.5,1.24,4.468999863,11.40002077
Comoros,COM,Africa,52.98090125,47.01909875,0.698635385,0.015377552,0.018684934,0.023708144,0.019256876,0.011094783,1.119560324,1.793185218,1.738882853,0.728986505,850910,2500.507998,0.8263328,0.837926455,37.97,,32.1,11.1,335,31.7,69,63.9,47.359,79.83747,48.31392,71.58127,71.86927902,83.70118759,34.16603722,77.84421539,9.34,4.331999779,8.478170295
Mozambique,MOZ,Africa,53.0335569,46.9664431,0.697494235,0.566981124,0.688572453,1.800761393,1.018771656,0.409531052,2.46346763,1.025079724,1.087040672,1.236957634,31408823,1136.393882,1.445514654,1.340387699,78.22,30.5,43.1,6.1,489,26.9,72.4,60.1,45.86,87.53715,22.54705,70.5251,110.2841712,47.25874511,23.56073218,24.19833946,3.69,24.91300011,20.7740003
Ethiopia,ETH,Africa,53.24991422,46.75008578,0.692805353,1.978971498,2.398261052,4.369668608,2.91563372,1.43602842,1.61825911,1.211387858,1.243982804,1.799401645,110135635,1729.926639,1.223198461,1.171283028,54.38,21.4,38.4,9.9,353,28.9,58.5,65.5,44.213,85.43871,29.60582,54.98298,88.1449103,39.12426158,7.07891807,42.9,3.51,5.308000088,18.61805145
Mauritania,MRT,Africa,53.32943929,46.67056071,0.691081891,0.083611357,0.101246463,0.058766808,0.081208209,0.060775447,0.778142124,0.622221826,0.623078428,0.385693977,4661149,3597.632689,2.381413991,2.338479203,17.31,11.3,27.9,14.8,602,33.8,79,63.9,56.078,75.7346,34.9772,56.12243,45.88332481,69.60767873,44.62062434,41.65210724,46.56,9.902999878,20.80096366
"Yemen, Rep.",YEM,Asia,53.70207319,46.29792681,0.683006193,0.526367147,0.635009124,,0.580688136,0.385685347,1.181684294,0.923718681,0.997678113,0.777189043,29579986,2369.05031,1.604133155,1.460446939,,34.4,46.5,16.3,385,27,55.4,65.3,56.242,83.08869,52.54585,77,8.353656568,70.35886323,59.68267989,71.64234924,64.93,14.16699982,26.71835477
Equatorial Guinea,GNQ,Africa,53.78248372,46.21751628,0.681263542,0.235604545,0.284001283,0.907478917,0.475694915,0.172935028,1.783228438,0.218656387,0.333768586,0.677017717,1360104,22213.74306,12.40423843,9.558092616,,,26.2,3.1,342,30.9,89.6,59.5,52.236,43.34419,24.04622,98.2,90.26406556,49.59008488,74.53794939,67.88928986,34.39,7.576000214,26.23999996
Eritrea,ERI,Africa,53.78248372,46.21751628,0.681263542,0.277757811,0.334813468,0.867511651,0.493360977,0.203875757,,0.587251959,0.810774944,0.465392584,5309659,,2.11055292,1.259967919,,,50.3,15.3,501,17.8,43.1,65,40.38,37.35275,30.6438,86.97491,86.38809931,19.29033047,11.25752675,46.68046188,16.32,6.278999805,1.30890698
Guinea-Bissau,GNB,Africa,53.78248372,46.21751628,0.681263542,0.034705544,0.041834588,0.110832555,0.062457562,0.02547406,1.807651553,0.954564808,1.013054702,0.719848232,1953723,1548.677641,1.552296659,1.438279633,78.65,26,27.6,6,549,37.3,84.2,59.8,44.983,70.89002,36.07885,60.40235,84.14451425,69.19660863,21.46600375,14.65579033,1.52,6.059000015,3.930509152
Seychelles,SYC,Africa,53.78248372,46.21751628,0.681263542,0.024160615,0.029123571,0,0.017761395,0.017734024,0.126024216,0.119456569,0.152442125,0.074367245,95702,26656.95252,6.721854241,5.726108127,,1.17,7.9,4.3,,8.6,14.2,73.3,68.969,95.50624,125.22124,98.97134,,96.2508915,100,100,90.36,,58.76981124
Somalia,SOM,Africa,53.78248372,46.21751628,0.681263542,0.001700031,0.002049243,0,0.001249758,0.001247832,0.105018364,0.220440329,0.254458336,0.086241322,15636171,,2.52322319,1.797115163,76.92,,25.3,15,732,38.5,127.2,55.4,25.778,,,,25.09381913,40.00243322,16.19141579,29.89031792,2.34,5.929999828,2.004048698
South Sudan,SSD,Africa,53.78248372,46.21751628,0.681263542,0.094319719,0.113694417,,0.104007068,0.069231191,,0.702075626,1.156423051,0.367464626,13263184,1569.888346,6.776695524,4.365467598,94.86,,31.1,22.7,789,39.6,96.4,58.6,30.682,32.11981,16.8596,36.70228,95.98906131,50.41121109,10.35011306,8.947628021,0.64,11.49699974,7.977428907
"Congo, Rep.",COG,Africa,54.21752079,45.78247921,0.671835447,0.097523782,0.117031355,0.309463387,0.174672841,0.072263191,0.564683541,0.432156619,0.616434434,0.333978775,5542197,4957.59012,3.428774883,2.363683572,78.15,37.5,21.2,8.2,442,19.4,47.5,64.3,48.458,85.84186,49.66473,80.91395,93.71120166,68.34045687,15.00932852,56.56616974,24.13,11.25699997,8.65
"Gambia, The",GMB,Africa,55.00110935,44.99889065,0.654853566,0.03853549,0.045859716,0.051588106,0.045327771,0.029051261,1.812669312,1.302580432,1.253447848,0.791265621,2228075,1544.390653,1.137563352,1.162438428,32.97,9.6,25,11.1,706,27.6,63.6,61.9,51.322,78.55461,63.21123,60.7779,75.82104476,80.05859802,41.69376093,47.75708771,3.3,9.454999924,19.83645444
Pakistan,PAK,Asia,55.56603409,44.43396591,0.642610554,3.494157054,4.132408923,3.134064258,3.586876745,2.667677046,0.556034169,0.744889464,0.653746628,1.877476501,204596442,5034.707756,1.989245162,2.228777761,22.09,20.5,45,10.5,178,44.2,74.9,66.5,51.565,76.45031,53.33974,72.7954,30.39921582,88.54555632,58.25140423,99.14743805,43.32,4.197000027,15.51
Cote d'Ivoire,CIV,Africa,55.70177717,44.29822283,0.639668739,0.434695163,0.513312363,0.772558035,0.573521854,0.332892808,0.780767381,1.25684802,1.219679222,0.731361416,25531083,3585.53599,1.178955402,1.194622257,43.77,20.7,21.6,6,645,33.5,88.8,54.6,50.32,85.95877,47.09679,53.02069,72.92751682,73.05741557,29.93183806,64.3,18.23,2.601000071,43.83992085
Tanzania,TZA,Africa,55.8206854,44.1793146,0.637091768,1.034337336,1.219756984,3.065457677,1.773183999,0.794235209,1.043291971,0.880748169,0.945201921,1.130921556,60913557,2683.304024,1.682396643,1.54152876,72.99,32,34.4,4.5,398,21.1,54,63.9,50.168,79.86929,29.01677,85.75514,90.74656101,50.14528001,23.53406597,32.8,2.16,2.259000063,15.99999943
Cameroon,CMR,Africa,56.02118883,43.97881117,0.63274647,0.427874349,0.503420144,0.678606866,0.536633787,0.330049192,0.827398248,0.608614033,0.847872344,0.605581104,25312993,3383.460806,2.434659211,1.718485048,39.06,7.3,31.7,5.2,596,25.5,84,58.1,53.01,95.20049,48.52319,80.57444,87.80403677,65.27996628,38.83498513,60.07476807,23.04,4.230000019,23.20297197
Rwanda,RWA,Africa,56.02193655,43.97806345,0.632730266,0.216264731,0.254446394,0.653762734,0.37482462,0.166822839,1.507188384,2.43477417,2.371777872,1.113027966,12794412,1857.411835,0.608585297,0.614330694,74.45,36.1,37.9,2.2,290,16.4,37.9,68,50.135,93.93462,36.90163,85.06624,99.82358763,56.71010797,62.34782504,29.37,0.57,1.360000014,21.76763262
