country,id,un_region_name,short_name,name,value,direction
Central African Republic,CAF,Africa,A,global_index_score_2019,39.07514636,NA
Central African Republic,CAF,Africa,1a,index_to_be_defined,60.92485364,-1
Central African Republic,CAF,Africa,3a,inverse_global_index_2019,1,-1
Central African Republic,CAF,Africa,MJC1,mjc_criteria_sdr_mild_version,0.113001724,1
Central African Republic,CAF,Africa,MJC2,mjc_criteria_sdr_medium_version,0.151676629,1
Central African Republic,CAF,Africa,MJC3,mjc_criteria_sdr_heavy_version,0.402167296,1
Central African Republic,CAF,Africa,MJC4,mjc_criteria_sdr_ponderated,0.222281883,1
Central African Republic,CAF,Africa,MJC5,mjc_criteria_equality,0.062921126,1
Central African Republic,CAF,Africa,MJC6,mjc_criteria_capacity,4.233666565,1
Central African Republic,CAF,Africa,MJC7,mjc_criteria_historical_responsability,0.296495069,1
Central African Republic,CAF,Africa,MJC8,mjc_criteria_present_responsability,0.663333104,1
Central African Republic,CAF,Africa,MJC9,mjc_criteria_ponderated,1.249695915,1
Central African Republic,CAF,Africa,5a,population_2019,4825711,-1
Central African Republic,CAF,Africa,6a,gdp_per_capita_ppp_2017,661.2399677,1
Central African Republic,CAF,Africa,7a,cum_emissions_per_capita_1994_2017,4.997613511,-1
Central African Republic,CAF,Africa,8a,emissions_per_cap_2017,2.196567511,-1
Central African Republic,CAF,Africa,2a,poverty_ratio_320,87.65,1
Central African Republic,CAF,Africa,B,undernourishment_prevalence,61.8,1
Central African Republic,CAF,Africa,C,stunting_prevalence_under_5_yrs,40.7,1
Central African Republic,CAF,Africa,D,wasting_prevalence_in_children_under_5,7.4,1
Central African Republic,CAF,Africa,E,maternal_mortality_rate_per_100k_births,882,1
Central African Republic,CAF,Africa,F,neonatal_mortality_rate_1k_births,41.5,1
Central African Republic,CAF,Africa,G,under_5_mortality_rate_1k_births,121.5,1
Central African Republic,CAF,Africa,H,life_expec_at_birth_yrs,53,-1
Central African Republic,CAF,Africa,I,univ_health_coverage_index,30.297,-1
Central African Republic,CAF,Africa,J,net_primary_enrolment_rate,68.07992,-1
Central African Republic,CAF,Africa,K,lower_secondary_completion_rate,10.02517,-1
Central African Republic,CAF,Africa,L,literacy_rate_15_24_yrs_both_sexes,36.35627,-1
Central African Republic,CAF,Africa,M,ratio_female_to_male_labour_force_rate,79.14707865,-1
Central African Republic,CAF,Africa,N,population_rate_using_basic_drinking_water_services,54.14386029,-1
Central African Republic,CAF,Africa,O,population_rate_using_basic_sanitation_services,25.08699975,-1
Central African Republic,CAF,Africa,P,access_to_electricity_pop_rate,13.98511219,-1
Central African Republic,CAF,Africa,Q,access_to_clean_fuels_and_tech_for_cooking_rate,0.97,-1
Central African Republic,CAF,Africa,R,unemployment_rate,5.765999794,1
Central African Republic,CAF,Africa,S,population_using_the_internet,4.339254945,-1
Chad,TCD,Africa,A,global_index_score_2019,42.78711764,NA
Chad,TCD,Africa,1a,index_to_be_defined,57.21288236,-1
Chad,TCD,Africa,3a,inverse_global_index_2019,0.9195544,-1
Chad,TCD,Africa,MJC1,mjc_criteria_sdr_mild_version,0.347755738,1
Chad,TCD,Africa,MJC2,mjc_criteria_sdr_medium_version,0.45707345,1
Chad,TCD,Africa,MJC3,mjc_criteria_sdr_heavy_version,0.896074525,1
Chad,TCD,Africa,MJC4,mjc_criteria_sdr_ponderated,0.566967904,1
Chad,TCD,Africa,MJC5,mjc_criteria_equality,0.206198919,1
Chad,TCD,Africa,MJC6,mjc_criteria_capacity,1.583272993,1
Chad,TCD,Africa,MJC7,mjc_criteria_historical_responsability,0.53451183,1
Chad,TCD,Africa,MJC8,mjc_criteria_present_responsability,0.301601903,1
Chad,TCD,Africa,MJC9,mjc_criteria_ponderated,0.693624171,1
Chad,TCD,Africa,5a,population_2019,15814345,-1
Chad,TCD,Africa,6a,gdp_per_capita_ppp_2017,1768.153411,1
Chad,TCD,Africa,7a,cum_emissions_per_capita_1994_2017,2.772188901,-1
